H3K_0H	H3K_2H+PDGF	H3K_2H+PDGF+JQ1	H3K_24H+PDGF	H3K_2H+PDGF+JQ1	Log2(H3K_2H/H3K_0H)	Log2(H3K_24H/H3K_0H)	Log2(H3K_24H/H3K_2H)
Tomm20	14950.43	17951.56	19408.82	14906.17	12467.91	0.26	0	-0.27
Tomm22	5973.58	7327.18	7124.13	6041.02	5773.12	0.29	0.02	-0.28
Tomm34	6673.6	8412.26	8488.97	5996.98	4260.76	0.33	-0.15	-0.49
Tomm40	10459.3	14294.48	14347.76	10239.45	7990.64	0.45	-0.03	-0.48
Tomm40l	19477.15	20107.63	16696.2	25408.22	23304.36	0.05	0.38	0.34
Tomm7	10929.09	17231.56	18130.13	10285.95	9397.26	0.66	-0.09	-0.74
Tonsl	12350.82	19600.07	18751.55	14619.64	10459.52	0.67	0.24	-0.42
Top1	10128.77	17262.65	20127.2	11234.76	13222.45	0.77	0.15	-0.62
Top1mt	4226.85	7140.7	8366.33	4298.64	3511.2	0.76	0.02	-0.73
Top2a	3265.09	3186.88	3022.12	4060.13	3144.53	-0.03	0.31	0.35
Top2b	13903.24	12251.81	13030.85	14115.41	8283.43	-0.18	0.02	0.2
Top3b	8644.24	10064.37	9934.83	10351.39	8739.07	0.22	0.26	0.04
Topors	12439.83	10903.97	11072.66	11406.11	11289.09	-0.19	-0.13	0.06
Tor1a	22169.55	27678.9	31706.46	24431.83	22258.75	0.32	0.14	-0.18
Tor1aip1	6271.2	10284.15	10719.84	6996.57	5552.26	0.71	0.16	-0.56
Tor1aip2	3992.7	4246.25	2577.14	3211.67	3404.36	0.09	-0.31	-0.4
Tor1b	16028.36	18733.95	21259.46	19813.9	16174.78	0.23	0.31	0.08
Tor2a	16305.33	21936	25357.57	18168.77	14430.64	0.43	0.16	-0.27
Tor3a	4466.09	7096.23	7683.76	6754.85	5233.52	0.67	0.6	-0.07
Tor4a	22570.39	36896.19	37890.79	29188.06	22618.96	0.71	0.37	-0.34
Tox4	13025.48	15530.01	16908.01	12680.29	12330.2	0.25	-0.04	-0.29
Tp53	11260.16	11286.99	11535.36	11097.97	11739.49	0	-0.02	-0.02
Tp53i11	21424.03	42155.89	57237.16	38563.05	29833.98	0.98	0.85	-0.13
Tp53i13	14696.92	23448.53	26619	18897.55	12914.04	0.67	0.36	-0.31
Tp53i3	6106.46	6106.72	5786.63	5030.43	6200.81	0	-0.28	-0.28
Tp53inp2	7385.6	9069.52	8852.75	8414.87	8175.28	0.3	0.19	-0.11
Tp53rk	5714.7	8348.33	7977.03	6689.63	5268.4	0.55	0.23	-0.32
Tpbg	7543.79	15517.45	21247.79	9058.69	9318.45	1.04	0.26	-0.78
Tpcn1	22495.96	34028.15	33815.27	28630.59	37997.88	0.6	0.35	-0.25
Tpcn2	27795.74	26906.29	31535.55	29901.9	21012.89	-0.05	0.11	0.15
Tpd52l1	154.42	474.07	473.19	309.4	122.22	1.62	1	-0.62
Tpd52l2	12290.53	18912.7	21563.76	15394.06	10901.27	0.62	0.32	-0.3
Tpgs1	13503.38	18728.41	20033.97	18692.4	12471.75	0.47	0.47	0
Tpgs2	2937.53	3847.81	3816.82	3788.97	3101.23	0.39	0.37	-0.02
Tpi1	17752.54	23130.88	24328.66	21635.12	18111.71	0.38	0.29	-0.1
Tpk1	3750.76	3637.96	4823.86	3218.27	4129.97	-0.04	-0.22	-0.18
Tpm1	96700.45	74898.52	74449.5	87961.74	103369.3	-0.37	-0.14	0.23
Tpm2	67276.08	69786.97	77248.96	58159.92	42812.92	0.05	-0.21	-0.26
Tpm3	11341.47	13611.77	15132.74	12368.33	9236	0.26	0.13	-0.14
Tpm4	33078.02	37737.84	46709.68	36571.46	25080.35	0.19	0.14	-0.05
Tpmt	2166.99	2624.89	2648.88	2262.68	2109.51	0.28	0.06	-0.21
Tpp1	16131.34	13373.35	14176.51	13551.11	13940.59	-0.27	-0.25	0.02
Tpp2	8996.11	11619.14	13098.49	7812.85	6735.89	0.37	-0.2	-0.57
Tpr	4353.31	6851.79	8238.7	4299.25	3528.06	0.65	-0.02	-0.67
Tpra1	18322.74	20151.03	25912.92	19371.13	11281.1	0.14	0.08	-0.06
Tprg1l	3751.35	5075.95	5290.11	3888.17	2536.45	0.44	0.05	-0.38
Tprn	8543.79	11125.01	10815.43	13431.23	7981.77	0.38	0.65	0.27
Tpst1	20757.09	12406.49	11607.15	30145.1	20509.61	-0.74	0.54	1.28
Tpst2	37685.52	44947.34	45347.86	40056.4	29413.47	0.25	0.09	-0.17
Tpt1	9562.74	16227.42	17917.88	10928.49	10677.51	0.76	0.19	-0.57
Tpx2	34967.01	49309.43	59980.8	33328.05	58359.55	0.5	-0.07	-0.57
Tra2a	2985.58	5253.84	4193.73	3971.7	2279.35	0.82	0.41	-0.4
Tra2b	6111.56	9980.74	10764.57	6290.5	4532.89	0.71	0.04	-0.67
Trabd	8774.04	12533.32	11533.52	11016.04	6979.51	0.51	0.33	-0.19
Traf1	4452.71	6787.11	9333.06	6413.73	5983.2	0.61	0.53	-0.08
Traf2	24177.16	34347.61	32884	26280.5	18650.42	0.51	0.12	-0.39
Traf3	6973.55	8441.94	8953.75	8467.57	6849.03	0.28	0.28	0
Traf3ip1	11831.17	10264.26	10764.02	12070.97	12103.49	-0.2	0.03	0.23
Traf3ip2	10345.4	7241.17	8006.09	11700.36	7451.15	-0.51	0.18	0.69
Traf4	9430.82	15408.85	15821.69	12463.86	8964.26	0.71	0.4	-0.31
Traf6	1698.38	3832.48	4083.24	2448.23	1673.77	1.17	0.53	-0.65
Traf7	21796.31	21955.4	19417.2	21642.44	15391.86	0.01	-0.01	-0.02
Trafd1	7002.49	8387.56	8539.93	9233.58	5852.41	0.26	0.4	0.14
Traip	7676.21	9181.64	9692.39	9280.55	6944.17	0.26	0.27	0.02
Trak1	40841.82	44473.3	42529.69	44846.3	48608.07	0.12	0.13	0.01
Trak2	5782.02	9396.36	10209.18	6691.92	4922.71	0.7	0.21	-0.49
Tram1	570.84	1957.2	2074.06	583.67	440.19	1.78	0.03	-1.75
Trap1	3323.36	4807.82	5102.31	3661.11	2950.39	0.53	0.14	-0.39
Trappc1	36697.33	41252.05	45903.82	42962.28	33793.44	0.17	0.23	0.06
Trappc10	13079.58	17825.36	25031.74	14471.69	9586.34	0.45	0.15	-0.3
Trappc11	3321.4	4943.02	5335.72	3038.26	1918.96	0.57	-0.13	-0.7
Trappc13	5485.3	5119.65	4809.75	4806.64	4142.89	-0.1	-0.19	-0.09
Trappc2	5678.81	4204.32	4182.93	3551.84	3937.07	-0.43	-0.68	-0.24
Trappc2l	15074.68	18889.5	21723.92	19687.58	15982.99	0.33	0.39	0.06
Trappc3	39430.69	39325.55	39697.51	45008.5	34734.37	0	0.19	0.19
Trappc4	13979.8	18169.61	19357.9	13798.09	11345.72	0.38	-0.02	-0.4
Trappc5	2326.94	4380.73	5670.97	2566.65	2000.43	0.91	0.14	-0.77
Trappc6a	6459.75	9267.01	9294.64	9821.55	6356.51	0.52	0.6	0.08
Trappc6b	6833.38	8070.67	8180.58	6260.42	6575.86	0.24	-0.13	-0.37
Trappc8	1572.84	2839.63	3663.43	1665.16	1664.58	0.85	0.08	-0.77
Trappc9	5437.71	5726.14	6632.95	4505.98	3662.84	0.07	-0.27	-0.35
Trdmt1	34801.38	30815.07	31795.66	27666.41	32334.14	-0.18	-0.33	-0.16
Trex1	9261.08	15242.8	15298.72	12077.63	8952.52	0.72	0.38	-0.34
Trib1	21691.72	43598.04	55687.3	32632.22	41630.45	1.01	0.59	-0.42
Trib2	7172.44	15734.26	21147.75	10284.35	15996.33	1.13	0.52	-0.61
Trib3	6328.83	7085	7804.66	9081.67	6739.76	0.16	0.52	0.36
Trim11	13224.59	11742.28	11507.24	17219.62	12793.1	-0.17	0.38	0.55
Trim13	23466.63	16442.08	15774.47	16672.16	18659.43	-0.51	-0.49	0.02
Trim16	3434.97	5552.82	6585.61	4310.29	4310.47	0.69	0.33	-0.37
Trim2	4096.17	3886.28	5164.39	5886.67	5401.35	-0.08	0.52	0.6
Trim23	5232.65	4904.82	4591.43	4706.91	3862.92	-0.09	-0.15	-0.06
Trim25	15604.09	14731.91	16972.23	15410.01	15030.85	-0.08	-0.02	0.06
Trim26	10322.55	16031.69	17620.34	14881.58	19720.5	0.64	0.53	-0.11
Trim27	10615.16	17280.93	17624.62	10275.65	8725.86	0.7	-0.05	-0.75
Trim28	13595.57	18247.33	16943.45	17872.46	11632.52	0.42	0.39	-0.03
Trim3	7166.05	10404.88	11629.81	8414.52	7658.52	0.54	0.23	-0.31
Trim32	2754.33	3178.41	3000.79	2709.09	2343.38	0.21	-0.02	-0.23
Trim34	2242.3	2053.67	1808.82	2586.38	1950.84	-0.13	0.21	0.33
Trim35	40385.25	26012.86	32074.34	28941.67	30250.39	-0.63	-0.48	0.15
Trim37	10613.7	9760.97	11047.98	9508.85	9747.35	-0.12	-0.16	-0.04
Trim39	6505.38	12223.85	17097.8	6906.38	5279.58	0.91	0.09	-0.82
Trim41	23057.31	28738.86	31228.4	28984.6	24041.25	0.32	0.33	0.01
Trim44	5086.83	8427.41	12439.96	6283.53	6031.02	0.73	0.3	-0.42
Trim45	3476.58	3630.47	3416.04	4243.49	3067.35	0.06	0.29	0.23
Trim46	17067.14	23198.63	26324.02	22649.13	17034.51	0.44	0.41	-0.03
Trim47	16578.95	28929.72	35093.5	24101.16	17397.31	0.8	0.54	-0.26
Trim5	2884.5	2757.67	2548.02	2958.98	3065.14	-0.06	0.04	0.1
Trim59	15139.9	11817.73	10067.56	11034.49	10905.46	-0.36	-0.46	-0.1
Trim65	20964.68	32473.18	37572.84	26871.12	21244.54	0.63	0.36	-0.27
Trim69	3695.5	3722.86	3106.23	3566.18	4823.33	0.01	-0.05	-0.06
Trim72	2611.44	2126.33	1524.27	3327.17	2156.21	-0.3	0.35	0.65
Trim8	63961.13	101810.34	119212.6	108445.47	124267.28	0.67	0.76	0.09
Trip10	14229.12	21334.59	20554.09	16721.86	10893.11	0.58	0.23	-0.35
Trip11	20397.88	11921.08	12937.93	13712.84	19695.74	-0.77	-0.57	0.2
Trip12	10574.34	19776.42	27360.33	14364.09	13312.23	0.9	0.44	-0.46
Trip13	9067.26	5776.95	5777.8	6494.66	3181.63	-0.65	-0.48	0.17
Trip4	9749.34	14414.09	14564.6	9994.86	9940.98	0.56	0.04	-0.53
Trip6	23871.55	34377.4	37738.74	29833.29	22005.11	0.53	0.32	-0.2
Triqk	1248.31	1673.48	2027.53	1154.13	715.69	0.42	-0.11	-0.54
Trit1	6213.36	11794.81	13797.92	6694.58	10083.58	0.92	0.11	-0.82
Trmt1	99815.42	93787.06	91575.99	121179.49	89512.25	-0.09	0.28	0.37
Trmt10a	5627.26	5608.82	5985.35	3900.31	4243.25	0	-0.53	-0.52
Trmt10c	8543.46	11263.28	12222.56	6566.57	6691.55	0.4	-0.38	-0.78
Trmt11	4736.06	5819.75	6468.4	4034.14	6436.15	0.3	-0.23	-0.53
Trmt112	35072.17	55661.72	59699.91	43229.41	43265.78	0.67	0.3	-0.36
Trmt12	7363.98	5966.87	7173.97	5464.14	9130.3	-0.3	-0.43	-0.13
Trmt13	5699.96	4883.34	5548.36	4139.23	4294.46	-0.22	-0.46	-0.24
Trmt1l	8208.34	9454.2	10136.01	6332.39	4220.92	0.2	-0.37	-0.58
Trmt2a	12088.92	21596.52	24919.61	12975.55	11623.58	0.84	0.1	-0.74
Trmt44	24981.78	14506.89	15156.73	35269.8	23527.9	-0.78	0.5	1.28
Trmt5	18598	16731.9	15611.84	19858.82	28712.83	-0.15	0.09	0.25
Trmt6	2139.56	4285.34	4731.39	1683.03	2238.49	1	-0.35	-1.35
Trmt61a	9517.47	12713.85	15602.81	11255.11	8525.84	0.42	0.24	-0.18
Trmu	2773.97	3382.13	4166.78	2978.52	2592.39	0.29	0.1	-0.18
Trnau1ap	26293.85	34554.22	35891.86	27663.15	25498.41	0.39	0.07	-0.32
Trnt1	2190.32	3492.32	4570.66	2147.77	3827.64	0.67	-0.03	-0.7
Troap	30802.61	40797.86	46243.49	31227.29	24493.26	0.41	0.02	-0.39
Trove2	6169.17	9384.02	10575.32	6447.29	5341.36	0.61	0.06	-0.54
Trpc1	2662.54	4536.8	3788.69	3122.17	2667.57	0.77	0.23	-0.54
Trpc4ap	3849.46	6285.6	5811.12	4568.28	3124.84	0.71	0.25	-0.46
Trpc6	15972.6	12105.34	11932.82	9943.62	13630.68	-0.4	-0.68	-0.28
Trpm4	5877.14	10602.17	10581.95	9433.13	6478.28	0.85	0.68	-0.17
Trpm7	8143.51	8762.23	8230	6693.31	6252.18	0.11	-0.28	-0.39
Trps1	8730.19	12877.73	19694.07	11095.75	25709.18	0.56	0.35	-0.21
Trpt1	35357.1	51596.3	53360.67	44201.13	40715.11	0.55	0.32	-0.22
Trpv2	23587.5	29954.01	28097.12	28725.13	34055.33	0.34	0.28	-0.06
Trpv4	872.11	1347.17	841.01	1237.98	702.03	0.63	0.51	-0.12
Trrap	4140.51	7918.02	6096.59	5504.05	2335.84	0.94	0.41	-0.52
Trub1	1751.27	3602.4	3707.29	1703.63	1484.63	1.04	-0.04	-1.08
Trub2	10067.58	13969.98	14300.1	11227.97	8731.27	0.47	0.16	-0.32
Tsc2	23343.41	28754.58	38628.41	26823.41	19224.38	0.3	0.2	-0.1
Tsc22d1	11352.06	13733.22	18331.62	13588.59	16016.09	0.27	0.26	-0.02
Tsc22d2	18553.53	23543.38	25279.02	13874.45	11144.04	0.34	-0.42	-0.76
Tsc22d3	3095.11	2551.31	2142.65	4720.77	3527.1	-0.28	0.61	0.89
Tsen15	1638.55	2581.74	3196.5	1508.06	1450.84	0.66	-0.12	-0.78
Tsen2	6806.1	7880.18	10065.01	8588.14	9387.48	0.21	0.34	0.12
Tsen54	8108.96	8011.65	8743.01	10626.12	5086.81	-0.02	0.39	0.41
Tsfm	24466.2	35473.4	39200.3	31361.76	26540.32	0.54	0.36	-0.18
Tsg101	6992.77	10754.94	13437.55	7929.02	8385.34	0.62	0.18	-0.44
Tsga10	4181.38	5812.27	5358.01	3800.45	3287.57	0.48	-0.14	-0.61
Tshz3	6716.76	12021.17	13779.94	11155.33	10817.75	0.84	0.73	-0.11
Tsku	20950.95	28828.81	34733.65	30589.27	19589.52	0.46	0.55	0.09
Tsn	3227.61	5839.99	6113.32	3161.88	2866.14	0.86	-0.03	-0.89
Tsnax	2959.32	6300.96	7233	3168.97	3188.96	1.09	0.1	-0.99
Tsnaxip1	15600.9	15317.84	13039.77	15371.6	19536.75	-0.03	-0.02	0.01
Tspan12	2513.12	2597.9	2907.04	3240.99	2295.53	0.05	0.37	0.32
Tspan13	1733.36	1384.47	1169.99	2322.53	1095.7	-0.32	0.42	0.75
Tspan14	3262.27	6820.12	5658.12	5653.22	2676.63	1.06	0.79	-0.27
Tspan15	3875.59	3743.05	4128.43	4047.37	2778.93	-0.05	0.06	0.11
Tspan18	10335.79	6619.87	7230.43	12978.28	5078.85	-0.64	0.33	0.97
Tspan2	9915.57	14753.98	16797.33	11294.19	12532.17	0.57	0.19	-0.39
Tspan3	22637.62	13960.94	14422.28	13326.73	11189.09	-0.7	-0.76	-0.07
Tspan31	9199.06	17725.13	19634.11	12329.73	7989.21	0.95	0.42	-0.52
Tspan5	28459.67	40911.16	57991.41	34679.13	27099.65	0.52	0.29	-0.24
Tspan6	16369.29	11684.71	15330.25	9524.74	15923.45	-0.49	-0.78	-0.29
Tspo	17445.12	23490.37	24413.88	21567.94	15855.13	0.43	0.31	-0.12
Tspyl1	3055.99	4683.68	5589.28	3820.18	2982.1	0.62	0.32	-0.29
Tspyl2	7486.38	8566.36	9797.74	8382.5	7328.13	0.19	0.16	-0.03
Tspyl4	2776.12	2875.52	3163.37	3017.2	2836.19	0.05	0.12	0.07
Tsr2	943.69	1574.75	1964.91	846.76	1135.38	0.74	-0.16	-0.9
Tsr3	8848.91	13144.64	14716.71	9234.96	7499.77	0.57	0.06	-0.51
Tssc1	4360.65	5924.38	6971.89	3853.22	4740.11	0.44	-0.18	-0.62
Tssc4	79248.52	84749.06	83093.84	92093.58	70809.81	0.1	0.22	0.12
Tst	10172.81	12407.38	13863.4	14156.61	10985.08	0.29	0.48	0.19
Tsta3	9111.47	12531.91	13781.16	12392.11	8497.87	0.46	0.44	-0.02
Tstd2	5452.68	9581.01	12061.18	4975.63	4657.44	0.81	-0.13	-0.95
Ttbk2	2427.55	2634.84	2763.98	3184.6	3348.74	0.12	0.39	0.27
Ttc1	5012.04	6682	6276.39	5288.54	4448.88	0.41	0.08	-0.34
Ttc12	1317.62	2111.71	1670.17	1875.93	1299.76	0.68	0.51	-0.17
Ttc13	3639.55	6681.24	7250.57	4221.4	3232.44	0.88	0.21	-0.66
Ttc14	3463.39	6331.58	8775.48	3564.51	3232.04	0.87	0.04	-0.83
Ttc17	12134.62	13562.78	14524.09	11331.36	12010.23	0.16	-0.1	-0.26
Ttc19	6556.01	9306.53	8467.08	8969.91	6134.95	0.51	0.45	-0.05
Ttc21b	2276.9	2696.72	3288.79	2725.02	2205.67	0.24	0.26	0.02
Ttc26	2768.97	2236.39	2195.9	1714.6	2488.16	-0.31	-0.69	-0.38
Ttc27	2857.65	4414.6	5747.23	3890.25	5149.02	0.63	0.45	-0.18
Ttc3	6670.27	8333.62	9134.31	8293.75	6998.3	0.32	0.31	-0.01
Ttc30a	1459.67	1064.61	1080.63	1000.76	964.57	-0.46	-0.54	-0.09
Ttc30a1	489.51	602.5	840.25	669.13	537.02	0.3	0.45	0.15
Ttc30b	5397.6	3797.06	3561.64	6254.68	4475.16	-0.51	0.21	0.72
Ttc33	6091.19	5777.63	7218.27	5633.3	10697.47	-0.08	-0.11	-0.04
Ttc38	5171.8	6221.14	7355.71	4716.98	3948.46	0.27	-0.13	-0.4
Ttc39b	5603.46	10999.39	12534.23	8932.47	13045.23	0.97	0.67	-0.3
Ttc4	21213.84	40619.91	46558.15	21923.1	28585.21	0.94	0.05	-0.89
Ttc5	1275.11	1408.32	1913.24	984.06	1058.79	0.14	-0.37	-0.52
Ttc7a	20409.02	51527.17	52729.12	40786.28	47394.15	1.34	1	-0.34
Ttc8	4677.25	6255.98	6560.18	4833.1	4504.43	0.42	0.05	-0.37
Ttc9c	22866.27	30828.81	29562.57	22761.47	19488.73	0.43	-0.01	-0.44
Ttf2	3926.72	3986.19	3578.3	4815.89	3120.35	0.02	0.29	0.27
Tti2	25360	16292.39	14884.53	22711.04	18607.51	-0.64	-0.16	0.48
Ttk	2648.71	3579.35	4149.26	2324.35	1790.9	0.43	-0.19	-0.62
Ttl	2845.55	5042.38	5890.39	3694.78	2853.7	0.83	0.38	-0.45
Ttll1	7654.38	13883.29	16478.94	12307.36	8261.9	0.86	0.69	-0.17
Ttll12	10252.79	13106.01	13473.3	12042.74	9408.67	0.35	0.23	-0.12
Ttll13	3457.45	3260.1	4075.42	5038.28	3565.15	-0.08	0.54	0.63
Ttpal	10237.8	13469.23	13980.9	10539.51	15102.37	0.4	0.04	-0.35
Ttyh3	20403.38	26928.65	24119.8	25380.17	15301.21	0.4	0.31	-0.09
Tuba1a	32676.62	35063.13	39345.73	31570.94	45025.21	0.1	-0.05	-0.15
Tuba1b	13781.72	19091.32	19274.27	15468.19	19420.65	0.47	0.17	-0.3
Tuba3b	7546.99	5718.58	5994.68	9731.33	7597.45	-0.4	0.37	0.77
Tuba4a	14483.67	13802.04	16089.79	16442.05	11354.32	-0.07	0.18	0.25
Tuba8	14275.08	19780.91	21195.8	13935.24	16315.96	0.47	-0.03	-0.51
Tubb2a	9134.77	7466.29	6735.79	12052.84	6766.19	-0.29	0.4	0.69
Tubb3	8199.07	12709.08	13349.15	11767.44	8043.68	0.63	0.52	-0.11
Tubb4b	21136.87	32935.08	28645.24	28486.55	19627.72	0.64	0.43	-0.21
Tubb5	46225.99	70017.29	74474.23	45395.02	58632.85	0.6	-0.03	-0.63
Tubb6	17996.97	34590.01	39876.76	26521.51	29180.49	0.94	0.56	-0.38
Tubd1	96165.11	103309.81	94964.51	112866.41	182212.71	0.1	0.23	0.13
Tube1	2668.06	2764.67	3470.25	2670.66	2886.09	0.05	0	-0.05
Tubg1	19452.18	23246.88	23879.38	27039.79	19131.33	0.26	0.48	0.22
Tubg2	10564.35	9903.79	10527.45	16360.82	11759.65	-0.09	0.63	0.72
Tubgcp3	1608.3	3805.97	5573.54	2043.82	1996.4	1.24	0.35	-0.9
Tubgcp5	2969.13	4205.1	5360.92	2600.56	3705.48	0.5	-0.19	-0.69
Tubgcp6	14225.47	17160.01	17083.8	18795.01	12293.46	0.27	0.4	0.13
Tufm	13146.72	15539.76	16783.96	12295.21	10721	0.24	-0.1	-0.34
Tug1	486.27	684.05	927.51	519.68	572.54	0.49	0.1	-0.4
Tulp2	18694.4	23320.68	23205.19	20210.95	18949.99	0.32	0.11	-0.21
Tulp4	20047.11	14680.47	18606.52	15053.45	16626.32	-0.45	-0.41	0.04
Tusc2	21138.24	35233.42	35502.67	27691.53	19560.66	0.74	0.39	-0.35
Tusc3	2243.68	4497.66	3917.75	2345.14	2119.42	1	0.06	-0.94
Tut1	65979.64	86053.86	114140.38	66938.21	72924.84	0.38	0.02	-0.36
Tvp23b	2787.33	3911.91	5084.32	3212.55	2728.97	0.49	0.2	-0.28
Twf1	2887.63	4374.85	4478.88	2641.9	2358.21	0.6	-0.13	-0.73
Twf2	11524.87	17056.12	15510.83	14439.89	11741.89	0.57	0.33	-0.24
Twist1	8075.04	14440.5	19571.56	9210.54	10640.31	0.84	0.19	-0.65
Twist2	11092.5	22753.37	28758.41	13822.9	20468.9	1.04	0.32	-0.72
Twistnb	4684.7	5564.84	6326.76	3221.51	4225.76	0.25	-0.54	-0.79
Twsg1	4466.17	6109.82	5446.57	5844.34	4342.38	0.45	0.39	-0.06
Txlna	16158.67	22355.61	22093.65	15325.85	14135.37	0.47	-0.08	-0.54
Txlng	1621.62	2238.87	1930.46	1354.39	1079.65	0.47	-0.26	-0.73
Txn2	84794.9	75057.31	72521.18	85269.94	51515.61	-0.18	0.01	0.18
Txndc11	6471.25	8598.75	8701.05	5859.77	5258.69	0.41	-0.14	-0.55
Txndc12	24084.29	20270.15	21198.63	16702.22	16415.97	-0.25	-0.53	-0.28
Txndc15	11605.69	16285.25	18652.86	13604.69	10632.28	0.49	0.23	-0.26
Txndc17	11709.39	15466.48	18874.46	14497.53	12312.25	0.4	0.31	-0.09
Txndc5	4158.79	8242.08	10541.8	3717.87	2779.61	0.99	-0.16	-1.15
Txndc9	6501.62	9690.72	11012.01	6398.6	4592.48	0.58	-0.02	-0.6
Txnip	35689.69	27638.49	23067.06	35117.39	30983.85	-0.37	-0.02	0.35
Txnl1	10463.8	13598.5	15415.17	11330.6	14848.7	0.38	0.11	-0.26
Txnrd1	10270.18	19636.64	23119.61	13021.43	11639.31	0.94	0.34	-0.59
Txnrd2	16611.89	20980.8	24240.51	17557.85	16613.65	0.34	0.08	-0.26
Txnrd3	1069.2	1836.33	1607.74	1611.09	648.11	0.78	0.59	-0.19
Tyms	4734.13	4842.24	5377.93	6468.39	4032.38	0.03	0.45	0.42
Tyro3	2129.99	3793.02	5143.9	3391.22	1986.13	0.83	0.67	-0.16
Tysnd1	7268.57	7908.67	7995.96	9181.76	7003.99	0.12	0.34	0.22
Tyw1	7746.17	11220.93	10531.05	7683.88	6194.48	0.53	-0.01	-0.55
Tyw5	4333.22	8095.04	9525.4	5411.09	5118.5	0.9	0.32	-0.58
U2af1	4418.29	8287.26	9267.77	5039.32	3592.03	0.91	0.19	-0.72
U2af1l4	11949.95	16525.78	21877.49	13507.31	10967.69	0.47	0.18	-0.29
Uaca	26172.69	22249.11	25550.91	19878.38	19092.62	-0.23	-0.4	-0.16
Uap1	9387.32	17790.72	20765.71	9730.06	11376.05	0.92	0.05	-0.87
Uap1l1	14455.49	19995.46	21526.49	24407.6	17059.78	0.47	0.76	0.29
Uba1	4815.46	8071.7	9294.61	4841.88	4413.97	0.75	0.01	-0.74
Uba2	382.97	1393.56	1131.01	663.07	330.54	1.86	0.79	-1.07
Uba3	6610.82	7214.22	9694.63	5789.1	8670.93	0.13	-0.19	-0.32
Uba5	7156.94	9998.46	10683.96	9026.92	9384.49	0.48	0.33	-0.15
Uba52	27189.98	54153.01	59954.43	31675.33	22538.38	0.99	0.22	-0.77
Uba6	3988.52	4226.53	4773.41	3021.16	5055.63	0.08	-0.4	-0.48
Uba7	7056.83	8702.17	10060.94	8651.25	6544.45	0.3	0.29	-0.01
Ubac1	33105.79	21756.67	25791.8	35923.08	31576.54	-0.61	0.12	0.72
Ubac2	12155.95	13356.5	15309.54	11488.56	11087.84	0.14	-0.08	-0.22
Ubald1	12047.46	11918.94	10477.39	17431.32	13077.84	-0.02	0.53	0.55
Ubap1	11314.98	9117.63	10204.35	9497.43	10666.8	-0.31	-0.25	0.06
Ubap2	11574.7	17739.1	19473.24	12087.41	11508.48	0.62	0.06	-0.55
Ubash3b	7720.53	12814.91	11960.46	10105.82	6483.52	0.73	0.39	-0.34
Ubb	27758.11	35105.39	32025.64	32679.18	36169.38	0.34	0.24	-0.1
Ubc	36907.98	38047.92	35608.91	36758.7	40907.84	0.04	-0.01	-0.05
Ube2a	4922.8	8246.39	8180.76	5104.45	4435.31	0.74	0.05	-0.69
Ube2b	11365.14	11364.89	12494.86	15865.84	10080.21	0	0.48	0.48
Ube2c	16594.94	16026.8	19152.89	16863.25	12471.54	-0.05	0.02	0.07
Ube2d1	1587.36	2759.35	3054.66	2363.42	1377.19	0.8	0.57	-0.22
Ube2d2	15640.5	23750.12	25965.9	19386.1	22138.82	0.6	0.31	-0.29
Ube2d3	13450.08	21483.79	24308.26	13925.94	15321.04	0.68	0.05	-0.63
Ube2e3	5639.04	9396.45	11401	5999.91	6442.78	0.74	0.09	-0.65
Ube2f	19571.37	20749.67	24760.58	24089.76	24762.33	0.08	0.3	0.22
Ube2g1	8949.49	11441.6	10953.18	9013.26	6003.55	0.35	0.01	-0.34
Ube2g2	9289.99	13838.65	15941.24	12210.57	10418.14	0.57	0.39	-0.18
Ube2h	13911.4	11508	12374.83	17064.8	15603.37	-0.27	0.29	0.57
Ube2i	7657.22	14438.98	16320.35	11196.18	7067.92	0.92	0.55	-0.37
Ube2j1	7921.5	9818.4	10116.68	7380.27	6484.21	0.31	-0.1	-0.41
Ube2j2	13796.6	14216.58	14278.4	15006.26	9386.98	0.04	0.12	0.08
Ube2k	10932.7	18299.73	18917.42	9330.02	7613.72	0.74	-0.23	-0.97
Ube2l3	5421.25	10700.81	12520.77	6944.14	5730.3	0.98	0.36	-0.62
Ube2l6	8527.99	11884.61	12312.18	10639.73	8550.17	0.48	0.32	-0.16
Ube2m	7915.38	13053.64	14037.19	9828.25	7899.2	0.72	0.31	-0.41
Ube2n	8186.25	12680.08	14751.46	7399.57	8622.29	0.63	-0.15	-0.78
Ube2q1	9192.94	16792.82	22530.94	9934.7	10386.81	0.87	0.11	-0.76
Ube2q2l	4662.38	2102.56	2431.43	3444.45	2105.81	-1.15	-0.44	0.71
Ube2s	16641.27	23893.55	24878.57	19034.85	11130.66	0.52	0.19	-0.33
Ube2t	1465.56	1708.91	1020.01	1448.62	960.38	0.22	-0.02	-0.24
Ube2v1	33617.81	49585.38	54125.94	44269.97	31343.75	0.56	0.4	-0.16
Ube2v2	3195.77	4504.95	5059.09	2577.94	2649.28	0.5	-0.31	-0.81
Ube2z	8213.08	11905.03	11555.76	8285.97	6254.01	0.54	0.01	-0.52
Ube3a	5291.07	8719.12	11054.53	5685.68	6812.9	0.72	0.1	-0.62
Ube3b	17085.96	20769.83	19017.88	24890.58	10709.08	0.28	0.54	0.26
