NM_001131002	Hspb11
NM_001134540	Copa
NM_031574	Rasa3
NM_001012462	Supv3l1
NM_001012066	Sphk2
NM_024483	Adra1d
NM_001170565	Il17rc
NM_001287134	Ppp6r3
NM_001008385	Pmaip1
NM_001105742	Klf3
NM_001185047	Hcfc1r1
NM_133525	Dnph1
NM_173045	Zc3hav1
NM_012983	Myo1d
NM_001173371	Zfp609
NM_001108794	Cnot11
NM_001107241	Ahsa2
NM_001013925	Nub1
NM_001040176	Mon2
NM_053517	Shc1
NM_001113748	Rnf26
NM_001108435	Mppe1
NM_001105999	Ankrd17
NM_001277194	Cyc1
NM_001191884	Nme6
NM_022500	Ftl1
NM_001109602	Alyref
NM_021581	P3h4
NM_013145	Gnai1
NM_001106268	Chsy1
NM_001108820	Gla
NM_017103	Tceb3
NM_001024237	Farsa
NM_001004443	Hexa
NM_139087	Cgref1
NM_001013163	Bmyc
NM_001005901	Mib2
NM_138862	Spata7
NM_053310	Homer3
NM_001106543	Ncoa5
NM_001277450	Smad2
NM_001002830	Rasl11b
NM_031781	Apba3
NM_019380	Nptn
NM_133565	G3bp1
NM_138524	A3galt2
NM_001012473	Polr2c
NM_001108812	Ubxn6
NM_017068	Lamp2
NM_001191918	C1qtnf2
NM_001106655	Nans
NM_001105766	Pkmyt1
NM_053447	Hdac2
NM_001031650	Mrpl44
NM_001109607	Hint1
NM_001191805	Mcm3
NM_031623	Grb14
NM_001005552	MGC95208
NM_001106448	Ube2q1
NM_001170334	Gfod1
NM_001107626	Ado
NM_030836	Erap1
NM_001004237	Aurkaip1
NM_001100802	Aplp1
NM_001024368	Slc10a3
NM_001109581	Lbhd1
NM_133324	Naa35
NM_001106590	Slc35b4
NM_001108274	Tbc1d9b
NM_001105875	Ccdc58
NM_053346	Nrn1
NM_001012011	Lig3
NM_053965	Slc25a20
NM_175758	Slc1a5
NM_001007632	Ascc1
NM_001106103	Ogn
NM_001291383	LOC100361083
NM_001108104	Alg12
NM_001044275	Elovl1
NM_001107795	Phf20
NM_001024868	Pih1d1
NM_001134997	Gucd1
NM_001029903	Fam162a
NM_001105799	Med11
NM_053638	Idh3a
